high_season,min_diff,delay_15,period_day
0,3,0,night
0,9,0,night
0,9,0,night
0,3,0,night
0,-2,0,night
0,-26,0,night
0,-5,0,night
0,-5,0,night
0,-20,0,night
0,9,0,night
0,-9,0,night
0,14,0,night
0,-7,0,night
0,-4,0,night
0,-11,0,night
0,-9,0,night
0,-9,0,night
0,-12,0,night
0,15,0,night
0,58,1,night
0,2,0,night
0,8,0,night
0,55,1,night
0,52,1,night
0,55,1,night
0,0,0,night
0,26,1,night
0,57,1,night
0,55,1,night
0,2,0,night
0,2,0,night
0,53,1,night
0,59,1,night
0,5,0,night
0,56,1,night
0,1,0,night
0,55,1,night
0,3,0,night
0,58,1,night
0,56,1,night
0,54,1,night
0,4,0,night
0,56,1,night
0,56,1,night
0,51,1,night
0,50,1,night
0,0,0,night
0,58,1,night
0,1,0,night
0,-4,0,night
0,10,0,night
0,20,1,night
0,11,0,night
0,24,1,night
0,-5,0,night
0,-7,0,night
0,14,0,night
0,5,0,night
0,0,0,night
0,25,1,night
0,1,0,night
0,0,0,night
0,-4,0,night
0,13,0,night
0,-3,0,night
0,2,0,night
0,-5,0,night
0,0,0,night
0,-2,0,night
0,3,0,night
0,-9,0,night
0,5,0,night
0,-3,0,night
0,-4,0,night
0,-10,0,night
0,-9,0,night
0,2,0,night
0,2,0,night
0,-8,0,night
0,19,1,afternoon
0,0,0,afternoon
0,17,1,afternoon
0,-34,0,afternoon
0,14,0,afternoon
0,7,0,afternoon
0,24,1,afternoon
0,3,0,afternoon
0,-23,0,afternoon
0,17,1,afternoon
0,-30,0,afternoon
0,10,0,afternoon
0,24,1,afternoon
0,17,1,afternoon
0,-28,0,afternoon
0,-21,0,afternoon
0,-12,0,afternoon
0,6,0,afternoon
0,2,0,afternoon
0,-32,0,afternoon
0,11,0,afternoon
0,-27,0,afternoon
0,9,0,afternoon
0,20,1,afternoon
0,3,0,afternoon
0,22,1,afternoon
0,21,1,afternoon
0,22,1,afternoon
0,-33,0,afternoon
0,6,0,afternoon
0,20,1,night
0,17,1,night
0,19,1,night
0,47,1,night
0,5,0,night
0,3,0,night
0,-5,0,night
0,-7,0,night
0,45,1,night
0,20,1,night
0,12,0,night
0,26,1,night
0,39,1,night
0,-8,0,night
0,33,1,night
0,27,1,night
0,18,1,night
0,25,1,night
0,5,0,night
0,21,1,night
0,13,0,night
0,21,1,night
0,11,0,night
0,-4,0,night
0,-1,0,night
0,8,0,night
0,6,0,night
0,-4,0,night
0,6,0,night
0,-4,0,afternoon
0,0,0,afternoon
0,3,0,afternoon
0,-1,0,afternoon
0,-10,0,afternoon
0,16,1,afternoon
0,-1,0,afternoon
0,1,0,afternoon
0,14,0,afternoon
0,8,0,afternoon
0,7,0,afternoon
0,7,0,afternoon
0,5,0,afternoon
0,17,1,afternoon
0,1,0,afternoon
0,12,0,afternoon
0,-3,0,afternoon
0,33,1,afternoon
